r;inserts(s)
10;2.05E-12
10;2.0566666666667E-12
10;2.0633333333333E-12
10;2.07E-12
10;2.0766666666667E-12
10;2.0833333333333E-12
10;2.09E-12
10;2.0966666666667E-12
10;2.1E-12
10;2.1066666666667E-12
10;2.1133333333333E-12
10;2.12E-12
10;2.1266666666667E-12
10;2.1333333333333E-12
10;2.14E-12
10;2.1433333333333E-12
10;2.15E-12
10;2.1566666666667E-12
10;2.1633333333333E-12
10;2.17E-12
10;2.1766666666667E-12
10;2.18E-12
10;2.1866666666667E-12
10;2.1933333333333E-12
10;2.2E-12
10;2.2066666666667E-12
10;2.2133333333333E-12
10;2.2166666666667E-12
r;updates(s)
1;1.6666666666667E-14
1;2.3333333333333E-14
1;3.0E-14
1;4.0E-14
1;4.6666666666667E-14
1;5.3333333333333E-14
1;6.0E-14
1;6.6666666666667E-14
1;7.3333333333333E-14
1;8.0E-14
1;9.0E-14
1;9.6666666666667E-14
1;1.0333333333333E-13
1;1.1E-13
1;1.1666666666667E-13
1;1.2333333333333E-13
1;1.3E-13
1;1.4E-13
1;1.4666666666667E-13
1;1.5333333333333E-13
1;1.6E-13
1;1.6666666666667E-13
1;1.7333333333333E-13
1;1.8333333333333E-13
1;1.9E-13
1;1.9666666666667E-13
1;2.0333333333333E-13
1;2.1E-13
1;2.1666666666667E-13
1;2.2333333333333E-13
2;2.3E-13
2;2.4E-13
2;2.4666666666667E-13
2;2.5333333333333E-13
2;2.6E-13
2;2.6666666666667E-13
2;2.7333333333333E-13
2;2.8E-13
2;2.8666666666667E-13
2;2.9333333333333E-13
2;3.0333333333333E-13
2;3.1E-13
2;3.1666666666667E-13
2;3.2333333333333E-13
2;3.3E-13
2;3.4E-13
2;3.4666666666667E-13
2;3.5666666666667E-13
2;3.6333333333333E-13
2;3.7E-13
2;3.8E-13
2;3.8666666666667E-13
2;3.9333333333333E-13
2;4.0E-13
2;4.0666666666667E-13
2;4.1333333333333E-13
2;4.2333333333333E-13
2;4.3333333333333E-13
2;4.4333333333333E-13
2;4.5E-13
3;4.6E-13
3;4.6666666666667E-13
3;4.7333333333333E-13
3;4.8333333333333E-13
3;4.9E-13
3;5.0E-13
3;5.0666666666667E-13
3;5.1333333333333E-13
3;5.2E-13
3;5.3E-13
3;5.3666666666667E-13
3;5.4333333333333E-13
3;5.5E-13
3;5.5666666666667E-13
3;5.6333333333333E-13
3;5.7E-13
3;5.8E-13
3;5.8666666666667E-13
3;5.9333333333333E-13
3;6.0E-13
3;6.0666666666667E-13
3;6.1333333333333E-13
3;6.2E-13
3;6.3E-13
3;6.3666666666667E-13
3;6.4333333333333E-13
3;6.5E-13
3;6.5666666666667E-13
3;6.6333333333333E-13
3;6.7E-13
4;6.7666666666667E-13
4;6.8666666666667E-13
4;6.9333333333333E-13
4;7.0E-13
4;7.0666666666667E-13
4;7.1333333333333E-13
4;7.2E-13
4;7.2666666666667E-13
4;7.3666666666667E-13
4;7.4333333333333E-13
4;7.5E-13
4;7.5666666666667E-13
4;7.6333333333333E-13
4;7.7E-13
4;7.8E-13
4;7.8666666666667E-13
4;7.9333333333333E-13
4;8.0E-13
4;8.0666666666667E-13
4;8.1333333333333E-13
